Date, Open, High, Low,Close
04/09/2008 23:00:00,170.15,171.35,167.27,168.55
05/09/2008 23:00:00,168.23,168.85,165.88,167.36
08/09/2008 23:00:00,168.5,170.64,165.45,167.25
09/09/2008 23:00:00,167.41,167.52,162.49,163.1
10/09/2008 23:00:00,162.95,165.72,162.11,163.5
11/09/2008 23:00:00,163.53,164.7,160.93,161.84
12/09/2008 23:00:00,161.9,163.64,160.78,161.88
15/09/2008 23:00:00,159.6,160.74,154.75,154.82
16/09/2008 23:00:00,154.98,155.07,151.26,153.59
17/09/2008 23:00:00,153.56,158.2,152.11,158.11
18/09/2008 23:00:00,157.85,162.99,156.48,158.89
19/09/2008 23:00:00,158.67,164.34,158.11,163.79
22/09/2008 23:00:00,163.57,171.54,163.07,170.11
23/09/2008 23:00:00,170.07,170.67,165.14,167.98
24/09/2008 23:00:00,168.02,170.59,165.89,166.6
25/09/2008 23:00:00,166.54,169.76,164.31,168.85
26/09/2008 23:00:00,168.79,169.2,165.34,167.98
29/09/2008 23:00:00,167.98,168,156.13,156.49
30/09/2008 23:00:00,156.49,163.55,154.45,163.01
01/10/2008 23:00:00,162.95,163.93,157.06,159.81
02/10/2008 23:00:00,159.82,161.46,154.65,154.95
03/10/2008 23:00:00,154.94,157.12,152.39,153.82
06/10/2008 23:00:00,153.59,153.77,148.65,150.24
07/10/2008 23:00:00,150.05,154.11,148.96,150.43
08/10/2008 23:00:00,150.65,152.08,147.14,149.63
09/10/2008 23:00:00,149.89,150.91,145.28,145.97
10/10/2008 23:00:00,146.03,146.22,138.18,141.27
13/10/2008 23:00:00,141.21,143.61,140.54,142.99
14/10/2008 23:00:00,143.09,145.92,139.4,140.08
15/10/2008 23:00:00,139.84,140.26,134.64,134.74
16/10/2008 23:00:00,134.69,135.59,129.66,133.22
17/10/2008 23:00:00,133.39,135.36,130.93,132.95
20/10/2008 23:00:00,133.51,137.05,132.77,136.63
21/10/2008 23:00:00,136.71,136.85,131.12,132.16
22/10/2008 23:00:00,132.28,132.61,127.01,127.91
23/10/2008 23:00:00,128.02,130.23,126.71,130.2
24/10/2008 23:00:00,130.23,130.31,123.46,125.59
27/10/2008 22:00:00,125.59,126.58,122.11,123.21
28/10/2008 22:00:00,123.05,126.01,122.42,125.58
29/10/2008 22:00:00,125.31,130.05,124.46,129.09
30/10/2008 22:00:00,128.92,131.41,124.85,126.39
31/10/2008 22:00:00,126.39,129.41,123.93,128.47
03/11/2008 23:00:00,128.18,130,124.44,124.81
04/11/2008 23:00:00,124.61,132.58,123.06,130.9
05/11/2008 23:00:00,130.81,131.27,125.81,125.89
06/11/2008 23:00:00,125.83,126.31,120.97,121.42
07/11/2008 23:00:00,121.48,123.63,120.78,121.93
10/11/2008 23:00:00,122.61,126.37,119.91,122.94
11/11/2008 23:00:00,122.95,123.09,119.13,119.73
12/11/2008 23:00:00,119.81,120.31,116.43,116.68
13/11/2008 23:00:00,116.25,120.47,115.48,120.31
14/11/2008 23:00:00,120.2,120.77,116.5,117.17
17/11/2008 23:00:00,117.55,119.79,115.53,115.89
18/11/2008 23:00:00,115.82,116.79,114.77,115.23
19/11/2008 23:00:00,115.52,116.19,113.8,114.19
20/11/2008 23:00:00,113.9,114.24,108.96,109.17
21/11/2008 23:00:00,109.01,111.56,108.69,110.82
24/11/2008 23:00:00,111.41,115.74,109.24,114.71
25/11/2008 23:00:00,114.74,115.1,110.96,111.09
26/11/2008 23:00:00,111.09,115.41,110.59,115.31
27/11/2008 23:00:00,114.74,115.13,113.06,114.39
28/11/2008 23:00:00,114.42,116.42,111.56,115.45
01/12/2008 23:00:00,115.06,115.06,109.06,109.23
02/12/2008 23:00:00,109.29,110.69,107.26,108.12
03/12/2008 23:00:00,108.2,108.54,106.7,107.41
04/12/2008 23:00:00,107.44,107.71,103.8,104.12
05/12/2008 23:00:00,104.22,104.91,100.94,102.12
08/12/2008 23:00:00,102.08,105.14,101.99,104.44
09/12/2008 23:00:00,104.49,105.01,102.27,102.84
10/12/2008 23:00:00,102.84,106.61,102.33,104.37
11/12/2008 23:00:00,104.49,109.56,103.72,107.79
12/12/2008 23:00:00,107.44,107.95,103.76,106.98
15/12/2008 23:00:00,107.21,110.49,104.48,105.29
16/12/2008 23:00:00,105.39,106.99,103,104.15
17/12/2008 23:00:00,104.19,105.94,100.3,100.93
18/12/2008 23:00:00,100.55,101.53,97.34,98.23
19/12/2008 23:00:00,98.06,99.19,96.72,98.84
22/12/2008 23:00:00,98.68,99.33,95.39,95.5
23/12/2008 23:00:00,95.44,96.54,93.63,95.06
24/12/2008 23:00:00,95.04,95.63,90.87,91.41
26/12/2008 23:00:00,91.59,93.92,91.46,93.79
29/12/2008 23:00:00,94.29,98.09,93.41,95.83
30/12/2008 23:00:00,95.9,96.28,93.82,95.2
31/12/2008 23:00:00,95.06,101.43,92.83,98.4
02/01/2009 23:00:00,99.61,102.63,96.94,102.38
05/01/2009 23:00:00,102.93,105.17,101.43,104.22
06/01/2009 23:00:00,104.29,106.36,103.49,104.38
07/01/2009 23:00:00,104.3,104.98,98.3,98.45
08/01/2009 23:00:00,98.52,99.52,96.43,98.23
09/01/2009 23:00:00,98.34,98.59,95.27,96.28
12/01/2009 23:00:00,96.44,96.69,93.37,93.56
13/01/2009 23:00:00,93.38,95.39,91.99,94.74
14/01/2009 23:00:00,94.61,95.34,91.41,93.21
15/01/2009 23:00:00,93.23,93.88,89.09,91.14
16/01/2009 23:00:00,91.33,92.45,90,90.3
19/01/2009 23:00:00,90.4,90.6,88.18,88.72
20/01/2009 23:00:00,88.87,91.76,87.08,88.86
21/01/2009 23:00:00,88.88,92.4,88.21,92.16
22/01/2009 23:00:00,92.18,93.07,88.38,91.22
23/01/2009 23:00:00,91.23,94.97,89.37,94.02
